Kabupaten/Kota,Bank Sampah Ada,Bank Sampah TA,Kabupaten/Kota,Tempat Sampah Kemudian Di Angkut,Ketersediaan Tempat Pembuangan Sampah Sementara,Kabupaten/Kota,Pengolahan/Daur Ulang Sampah/Limbah Ada,Pengolahan/Daur Ulang Sampah/Limbah Tidak Ada,Kabupaten/Kota,Sumber Air Minum Bersih,Sumber Air Minum Layak
Buton,4,91,Buton,18,13,Buton,0,95,Buton,"79,07","98,53"
Muna,2,148,Muna,9,13,Muna,9,141,Muna,"68,41","96,10"
Konawe,6,363,Konawe,18,19,Konawe,5,363,Konawe,"77,39","86,26"
Kolaka,11,124,Kolaka,17,28,Kolaka,9,126,Kolaka,"93,37","97,68"
Konawe Selatan,0,351,Konawe Selatan,2,5,Konawe Selatan,5,346,Konawe Selatan,"90,37","89,75"
Bombana,3,142,Bombana,10,11,Bombana,6,139,Bombana,"93,33","98,72"
Wakatobi,3,97,Wakatobi,79,41,Wakatobi,14,86,Wakatobi,"62,58","97,38"
Kolaka Utara,1,132,Kolaka Utara,12,6,Kolaka Utara,2,131,Kolaka Utara,"90,90","92,27"
Buton Utara,2,89,Buton  Utara,6,5,Buton Utara,3,87,Buton Utara,"87,59","95,72"
Konawe Utara,2,170,Konawe Utara,0,2,Konawe Utara,4,168,Konawe Utara,"84,47","89,02"
Kolaka Timur,0,133,Kolaka Timur,0,4,Kolaka Timur,1,132,Kolaka Timur,"81,38","97,61"
Konawe Kepulauan,1,95,Konawe  Kepulauan,3,3,Konawe Kepulauan,0,96,Konawe Kepulauan,"59,80","89,01"
Muna Barat,1,85,Muna Barat,0,4,Muna Barat,3,83,Muna Barat,"64,11","96,05"
Buton Tengah,4,73,Buton Tengah,3,9,Buton Tengah,0,77,Buton Tengah,"89,80","96,07"
Buton Selatan,0,70,Buton Selatan,3,4,Buton Selatan,0,70,Buton Selatan,"44,78","98,41"
Kendari,11,54,Kota Kendari,59,58,Kota Kendari,13,52,Kendari,"88,25","95,27"
Bau-bau,9,34,Kota Baubau,38,34,Kota Baubau,8,35,Baubau,"93,91","100,00"
